DEPTH,GR,RHOB,RT
7897,104.85,2.546,16.301
7897.5,105.93,2.549,20.146
7898,107.01,2.554,24.482
7898.5,102.94,2.539,18.053
7899,98.87,2.526,11.717
7899.5,92.16,2.508,11.163
7900,85.45,2.49,10.425
7900.5,89.28,2.5,8.468
7901,93.11,2.51,10.059
7901.5,94.53,2.514,10.104
7902,95.96,2.518,10.122
7902.5,97.81,2.523,11.339
7903,99.66,2.529,15.046
7903.5,103.7,2.542,17.307
7904,107.74,2.556,23.58
7904.5,107.33,2.555,25.744
7905,106.92,2.553,21.153
7905.5,106.7,2.552,18.742
7906,106.49,2.552,22.412
7906.5,106.46,2.551,23.922
7907,106.44,2.551,25.459
7907.5,107.39,2.555,21.042
7908,108.34,2.559,27.362
7908.5,110.2,2.566,27.143
7909,112.05,2.575,44.266
7909.5,112.53,2.577,40.523
7910,113.02,2.579,41.725
7910.5,113.33,2.581,44.125
7911,113.63,2.582,51.911
7911.5,113.81,2.583,51.68
7912,113.99,2.584,47.016
7912.5,113.58,2.582,43.95
7913,113.17,2.58,34.064
7913.5,112.76,2.578,50.591
7914,112.35,2.576,47.549
7914.5,111.73,2.573,34.048
7915,111.11,2.57,33.106
7915.5,110.5,2.568,28.208
7916,109.9,2.565,22.227
7916.5,107.6,2.556,23.359
7917,105.31,2.547,23.47
7917.5,104.41,2.544,14.854
7918,103.52,2.541,17.144
7918.5,103.05,2.539,17.113
7919,102.58,2.538,13.908
7919.5,100.19,2.53,14.563
7920,97.8,2.523,15.285
7920.5,99.6,2.528,12.863
7921,101.39,2.534,17.429
7921.5,105.43,2.548,19.263
7922,109.47,2.563,32.054
7922.5,108.61,2.56,27.23
7923,107.75,2.556,23.073
7923.5,107.36,2.555,20.409
7924,106.96,2.553,21.085
7924.5,108.6,2.56,26.292
7925,110.24,2.567,28.874
7925.5,109.76,2.565,28.845
7926,109.28,2.563,27.869
7926.5,108.8,2.561,24.521
7927,108.32,2.559,23.704
7927.5,106.39,2.551,24.739
7928,104.47,2.544,21.43
7928.5,104.13,2.543,18.471
7929,103.79,2.542,17.641
7929.5,105.74,2.549,23.967
7930,107.69,2.556,25.931
7930.5,109.08,2.562,22.2
7931,110.46,2.568,23.373
7931.5,111.27,2.571,29.614
7932,112.07,2.575,36.008
7932.5,112.33,2.576,42.621
7933,112.59,2.577,46.267
7933.5,111.28,2.571,28.848
7934,109.96,2.565,34.542
7934.5,109.53,2.564,24.972
7935,109.09,2.562,29.067
7935.5,110.95,2.57,40.29
7936,112.8,2.578,43.995
7936.5,112.84,2.578,47.841
7937,112.89,2.579,48.407
7937.5,113.34,2.581,49.174
7938,113.8,2.583,39.496
7938.5,114.38,2.586,47.805
7939,114.96,2.589,55.191
7939.5,115.32,2.59,65.409
7940,115.68,2.592,67.763
7940.5,116.04,2.594,87.116
7941,116.4,2.596,70.909
7941.5,114.95,2.588,54.499
7942,113.5,2.581,43.694
7942.5,112.71,2.578,34.404
7943,111.91,2.574,34.189
7943.5,112.39,2.576,33.127
7944,112.87,2.578,39.564
7944.5,115.65,2.592,72.107
7945,114.63,2.587,59.205
7945.5,116.7,2.597,76.508
7946,116.88,2.598,91.762
7946.5,113.63,2.582,37.975
7947,110.38,2.567,26.86
7947.5,111.58,2.573,40.568
7948,112.78,2.578,35.762
7948.5,112.13,2.575,35.719
7949,111.48,2.572,39.99
7949.5,111.52,2.572,40.644
7950,111.56,2.572,34.89
7950.5,111.33,2.571,37.457
7951,111.1,2.57,36.412
7951.5,111.35,2.571,32.724
7952,111.59,2.573,36.059
7952.5,111.82,2.574,31.07
7953,112.04,2.575,40.973
7953.5,111.07,2.57,33.039
7954,110.1,2.566,33.356
7954.5,109.13,2.562,22.989
7955,108.17,2.558,20.479
7955.5,107.39,2.555,24.167
7956,106.62,2.552,20.655
7956.5,107.33,2.555,21.794
7957,108.03,2.558,19.201
7957.5,107.54,2.556,19.24
7958,107.06,2.554,20.018
7958.5,107.65,2.556,24.352
7959,108.24,2.558,24.686
7959.5,109.49,2.563,27.797
7960,110.75,2.569,26.568
7960.5,112.33,2.576,45.063
7961,113.91,2.583,60.875

